id,book_id,school_id,copies
196,196,1,11
197,197,2,3
198,198,3,13
199,199,4,13
200,200,5,11
201,1,1,1
202,2,2,3
203,3,3,2
204,4,4,15
205,5,5,6
206,6,1,1
207,7,2,10
208,8,3,8
209,9,4,3
210,10,5,6
211,11,1,7
212,12,2,9
213,13,3,14
214,14,4,11
215,15,5,12
216,16,1,15
217,17,2,9
218,18,3,5
219,19,4,11
220,20,5,9
221,21,1,9
222,22,2,1
223,23,3,6
224,24,4,10
225,25,5,9
226,26,1,8
227,27,2,7
228,28,3,4
229,29,4,2
230,30,5,10
231,31,1,4
232,32,2,2
233,33,3,9
234,34,4,15
235,35,5,3
236,36,1,13
237,37,2,11
238,38,3,1
239,39,4,8
240,40,5,1
241,41,1,8
242,42,2,12
243,43,3,13
244,44,4,4
245,45,5,12
246,46,1,3
247,47,2,10
248,48,3,4
249,49,4,14
250,50,5,7
251,51,1,11
252,52,2,1
253,53,3,13
254,54,4,8
255,55,5,10
256,56,1,1
257,57,2,7
258,58,3,11
259,59,4,7
260,60,5,9
261,61,1,7
262,62,2,13
263,63,3,13
264,64,4,15
265,65,5,11
266,66,1,3
267,67,2,15
268,68,3,6
269,69,4,7
270,70,5,2
271,71,1,6
272,72,2,5
273,73,3,10
274,74,4,6
275,75,5,10
276,76,1,4
277,77,2,1
278,78,3,1
279,79,4,6
280,80,5,7
281,81,1,14
282,82,2,15
283,83,3,1
284,84,4,14
285,85,5,3
286,86,1,9
287,87,2,13
288,88,3,11
289,89,4,3
290,90,5,5
291,91,1,1
292,92,2,7
293,93,3,12
294,94,4,2
295,95,5,13
296,96,1,3
297,97,2,12
298,98,3,10
299,99,4,2
300,100,5,13
301,101,1,9
302,102,2,13
303,103,3,6
304,104,4,1
305,105,5,14
306,106,1,5
307,107,2,8
308,108,3,10
309,109,4,14
310,110,5,8
311,111,1,15
312,112,2,14
313,113,3,6
314,114,4,5
315,115,5,1
316,116,1,10
317,117,2,3
318,118,3,6
319,119,4,11
320,120,5,15
321,121,1,3
322,122,2,3
323,123,3,10
324,124,4,1
325,125,5,6
326,126,1,11
327,127,2,12
328,128,3,15
329,129,4,12
330,130,5,3
331,131,1,3
332,132,2,4
333,133,3,13
334,134,4,12
335,135,5,2
336,136,1,14
337,137,2,1
338,138,3,3
339,139,4,7
340,140,5,1
341,141,1,5
342,142,2,1
343,143,3,10
344,144,4,9
345,145,5,4
346,146,1,7
347,147,2,7
348,148,3,11
349,149,4,2
350,150,5,8
351,151,1,4
352,152,2,4
353,153,3,1
354,154,4,7
355,155,5,5
356,156,1,6
357,157,2,5
358,158,3,14
359,159,4,9
360,160,5,14
361,161,1,1
362,162,2,4
363,163,3,11
364,164,4,4
365,165,5,1
366,166,1,6
367,167,2,14
368,168,3,9
369,169,4,3
370,170,5,12
371,171,1,8
372,172,2,5
373,173,3,13
374,174,4,6
375,175,5,10
376,176,1,4
377,177,2,12
378,178,3,1
379,179,4,6
380,180,5,2
381,181,1,14
382,182,2,9
383,183,3,12
384,184,4,13
385,185,5,10
386,186,1,12
387,187,2,14
388,188,3,14
389,189,4,10
390,190,5,8
391,191,1,13
392,192,2,6
393,193,3,15
394,194,4,15
395,195,5,15
396,196,1,4
397,197,2,15
398,198,3,1
399,199,4,5
400,200,5,6
401,1,1,14
402,2,2,13
403,3,3,7
404,4,4,12
405,5,5,6
406,6,1,10
407,7,2,5
408,8,3,15
409,9,4,8
410,10,5,14
411,11,1,4
412,12,2,8
413,13,3,9
414,14,4,13
415,15,5,15
416,16,1,8
417,17,2,7
418,18,3,12
419,19,4,13
420,20,5,11
421,21,1,1
422,22,2,14
423,23,3,4
424,24,4,11
425,25,5,4
426,26,1,12
427,27,2,12
428,28,3,7
429,29,4,9
430,30,5,9
431,31,1,13
432,32,2,13
433,33,3,2
434,34,4,2
435,35,5,8
436,36,1,12
437,37,2,3
438,38,3,9
439,39,4,2
440,40,5,3
441,41,1,8
442,42,2,7
443,43,3,14
444,44,4,4
445,45,5,13
446,46,1,8
447,47,2,3
448,48,3,6
449,49,4,8
450,50,5,3
451,51,1,13
452,52,2,1
453,53,3,8
454,54,4,7
455,55,5,8
456,56,1,2
457,57,2,12
458,58,3,1
459,59,4,5
460,60,5,14
461,61,1,13
462,62,2,7
463,63,3,11
464,64,4,4
465,65,5,10
466,66,1,8
467,67,2,6
468,68,3,12
469,69,4,11
470,70,5,10
471,71,1,7
472,72,2,13
473,73,3,10
474,74,4,15
475,75,5,12
476,76,1,5
477,77,2,14
478,78,3,6
479,79,4,12
480,80,5,3
481,81,1,13
482,82,2,2
483,83,3,7
484,84,4,15
485,85,5,10
486,86,1,6
487,87,2,7
488,88,3,6
489,89,4,7
490,90,5,5
491,91,1,14
492,92,2,1
493,93,3,12
494,94,4,9
495,95,5,8
496,96,1,15
497,97,2,15
498,98,3,3
499,99,4,13
500,100,5,15
